value,v1,v2,split,,
1514,ham,Hows the champ just leaving glasgow!,train,,
1515,ham,K:)all the best:)congrats...,train,,
1516,ham,I wonder if you'll get this text?,train,,
1517,ham,I need to come home and give you some good lovin...,train,,
1518,spam,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.,train,,
1519,ham,Shall i ask one thing if you dont mistake me.,train,,
1520,ham,Check wid corect speling i.e. Sarcasm,train,,
1521,spam,"URGENT! Your Mobile No was awarded a $2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate",train,,
1522,ham,Are you angry with me. What happen dear,train,,
1523,ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,train,,
1524,ham,Yup ok thanx...,train,,
1525,ham,Hi:)cts employee how are you?,train,,
1526,ham,Pls pls find out from aunt nike.,train,,
1527,ham,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you",train,,
1528,ham,No screaming means shouting..,train,,
1529,ham,Hey what happen de. Are you alright.,train,,
1530,ham,Should I have picked up a receipt or something earlier,train,,
1531,ham,I think chennai well settled?,train,,
1532,ham,Oh dang! I didn't mean o send that to you! Lol!,train,,
1533,ham,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th,train,,
1534,ham,Horrible bf... I now v hungry...,train,,
1535,ham,Remember on that day..,train,,
1536,spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,train,,
1537,ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,train,,
1538,ham,All sounds good. Fingers . Makes it difficult to type,train,,
1539,ham,Midnight at the earliest,train,,
1540,ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,train,,
1541,ham,K come to nordstrom when you're done,train,,
1542,ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,train,,
1543,ham,Now press conference da:),train,,
1544,spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",train,,
1545,ham,After completed degree. There is no use in joining finance.,train,,
1546,ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?",train,,
1547,ham,Shant disturb u anymore... Jia you...,train,,
1548,ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,train,,
1549,ham,"Me, i dont know again oh",train,,
1550,ham,Dude sux for snake. He got old and raiden got buff,train,,
1551,ham,He says hi and to get your ass back to south tampa (preferably at a kegger),train,,
1552,ham,In e msg jus now. U said thanks for gift.,train,,
1553,ham,U too...,train,,
1554,ham,Ok how you dear. Did you call chechi,train,,
1555,ham,Yeah we do totes. When u wanna?,train,,
1556,ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,train,,
1557,ham,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),train,,
1558,ham,Wat r u doing?,train,,
1559,ham,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,train,,
1560,ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but",train,,
1561,ham,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?",train,,
1562,ham,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.,train,,
1563,ham,Dude just saw a parked car with its sunroof popped up. Sux,train,,
1564,ham,Get ready to put on your excellent sub face :),train,,
1565,ham,Tmrw. Im finishing 9 doors,train,,
1566,ham,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.",train,,
1567,ham,I am late. I will be there at,train,,
1568,ham,"whatever, im pretty pissed off.",train,,
1569,ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,train,,
1570,ham,I dont have that much image in class.,train,,
1571,ham,No:-)i got rumour that you going to buy apartment in chennai:-),train,,
1572,ham,Near kalainar tv office.thenampet,train,,
1573,spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,train,,
1574,spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,train,,
1575,ham,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.,train,,
1576,ham,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...",train,,
1577,ham,No. To be nosy I guess. Idk am I over reacting if I'm freaked?,train,,
1578,ham,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",train,,
1579,ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,train,,
1580,ham,"Why is that, princess? I bet the brothas are all chasing you!",train,,
1581,ham,"I shall book chez jules for half eight, if that's ok with you?",train,,
1582,ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something,train,,
1583,ham,"Yep, at derek's house now, see you Sunday &lt;3",train,,
1584,ham,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day",train,,
1585,ham,"Sorry, I'll call later",train,,
1586,ham,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,train,,
1587,ham,There are no other charges after transfer charges and you can withdraw anyhow you like,train,,
1588,ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",train,,
1589,ham,At 4. Let's go to bill millers,train,,
1590,ham,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo,train,,
1591,ham,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)",train,,
1592,ham,That's my honeymoon outfit. :),train,,
1593,ham,Will it help if we propose going back again tomorrow,train,,
1594,spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,train,,
1595,ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,train,,
1596,ham,Pls confirm the time to collect the cheque.,train,,
1597,spam,As a Registered Subscriber yr draw 4 a $100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062,train,,
1598,spam,URGENT! Your Mobile number has been awarded with a $2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,train,,
1599,ham,Daddy will take good care of you :),train,,
1600,ham,"Yeah probably, I still gotta check out with leo",train,,
1601,ham,K.then any other special?,train,,
1602,ham,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass,train,,
1603,ham,Ok pa. Nothing problem:-),train,,
1604,ham,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! ,train,,
1605,ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",train,,
1606,ham,When you came to hostel.,train,,
1607,ham,Ok no prob... I'll come after lunch then...,train,,
1608,ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,train,,
1609,ham,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,train,,
1610,ham,You all ready for * big day tomorrow?,train,,
1611,ham,I'll probably be around mu a lot,train,,
1612,ham,645,train,,
1613,spam,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,train,,
1614,ham,Thnx dude. u guys out 2nite?,train,,
1615,ham,Me sef dey laugh you. Meanwhile how's my darling anjie!,train,,
1616,ham,Mm i had my food da from out,train,,
1617,ham,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",train,,
1618,ham,Did u download the fring app?,train,,
1619,ham,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,train,,
1620,ham,Friends that u can stay on fb chat with,train,,
1621,ham,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",train,,
1622,ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-",train,,
1623,spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,train,,
1624,ham,"Ah, well that confuses things, doesn‰Û÷t it?",train,,
1625,spam,500 free text msgs. Just text ok to 80488 and we'll credit your account,train,,
1626,ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,train,,
1627,ham,Dear how you. Are you ok?,train,,
1628,spam,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth $350! To Claim, Call London 02072069400. Bx 526, SW73SS",train,,
1629,ham,Yes princess! I want to make you happy...,train,,
1630,ham,Sounds like you have many talents! would you like to go on a dinner date next week?,train,,
1631,ham,I am going to film 2day da. At 6pm. Sorry da.,train,,
1632,ham,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.,train,,
1633,ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,train,,
1634,ham,Yesterday its with me only . Now am going home.,train,,
1635,spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",train,,
1636,ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",train,,
1637,ham,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me",train,,
1638,spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\""",train,,
1639,ham,Great comedy..cant stop laughing da:),train,,
1640,spam,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,train,,
1641,ham,"Alright, we're all set here, text the man",train,,
1642,ham,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?",train,,
1643,ham,Sleeping nt feeling well,train,,
1644,ham,U WILL SWITCH YOUR FONE ON DAMMIT!!,train,,
1645,ham,India have to take lead:),train,,
1646,ham,I.ll post her out l8r. In class,train,,
1647,ham,Thts wat Wright Brother did to fly..,train,,
1648,ham,"Evening * v good if somewhat event laden. Will fill you in, don't you worry ‰Û_ Head * ok but throat * wrecked. See you at six then!",train,,
1649,ham,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),train,,
1650,ham,ITS A LAPTOP TAKE IT WITH YOU.,train,,
1651,ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,train,,
1652,ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...,train,,
1653,spam,"For ur chance to win a $250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",train,,
1654,ham,I was at bugis juz now wat... But now i'm walking home oredi... ÌÏ so late then reply... I oso saw a top dat i like but din buy... Where r Ì_ now? ,train,,
1655,ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",train,,
1656,ham,At 7 we will go ok na.,train,,
1657,ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),train,,
1658,ham,S:-)if we have one good partnership going we will take lead:),train,,
1659,spam,RGENT! This is the 2nd attempt to contact U!U have WON $1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max$7. 50,train,,
1660,ham,"Yeah, where's your class at?",train,,
1661,ham,No just send to you. Bec you in temple na.,train,,
1662,ham,"You aren't coming home between class, right? I need to work out and shower!",train,,
1663,spam,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls$1/minMobsmoreLKPOBOX177HP51FL,train,,
1664,ham,S but mostly not like that.,train,,
1665,ham,ÌÏ v ma fan...,train,,
1666,ham,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,train,,
1667,ham,Guess who spent all last night phasing in and out of the fourth dimension,train,,
1668,ham,So now my dad is gonna call after he gets out of work and ask all these crazy questions.,train,,
1669,ham,"Yes..but they said its IT.,",train,,
1670,ham,Very hurting n meaningful lines ever: \I compromised everything for my love,train,,
1671,ham,Lmao!nice 1,train,,
1672,ham,Glad to see your reply.,train,,
1673,spam,URGENT! We are trying to contact U. Todays draw shows that you have won a $800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,train,,
1674,spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,train,,
1675,ham,Nah dub but je still buff,train,,
1676,ham,Painful words- \I thought being Happy was the most toughest thing on Earth... But,train,,
1677,ham,"Yeah, that's fine! It's $6 to get in, is that ok? ",train,,
1678,ham,Lol where do u come up with these ideas?,train,,
1679,ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",train,,
1680,ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",train,,
1681,ham,Okay... We wait ah,train,,
1682,ham,Y lei?,train,,
1683,ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,train,,
1684,ham,Already am squatting is the new way of walking,train,,
1685,ham,Do you want bold 2 or bb torch,train,,
1686,ham,Cramps stopped. Going back to sleep,train,,
1687,spam,todays vodafone numbers ending with 0089(my last four digits) are selected to received a $350 award. If your number matches please call 09063442151 to claim your $350 award,train,,
1688,spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,train,,
1689,ham,Nan sonathaya soladha. Why boss?,train,,
1690,ham,Bring tat cd don forget,train,,
1691,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. $1.50 SP:Tyrone,train,,
1692,ham,I don't know but I'm raping dudes at poker,train,,
1693,ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,train,,
1694,ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,train,,
1695,ham,ÌÏ eatin later but i'm eatin wif my frens now lei... ÌÏ going home first? ,train,,
1696,ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,train,,
1697,ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday",train,,
1698,ham,Hai priya are you right. What doctor said pa. Where are you.,train,,
1699,spam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",train,,
1700,ham,Ok...,train,,
1701,ham,Please ask mummy to call father,train,,
1702,ham,Can come my room but cannot come my house cos my house still messy... Haha...,train,,
1703,ham,I have lost 10 kilos as of today!,train,,
1704,ham,Just taste fish curry :-P,train,,
1705,ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,train,,
1706,ham,Yun ah.now Ì_ wkg where?btw if Ì_ go nus sc. ÌÏ wana specialise in wad?,train,,
1707,ham,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,train,,
1708,ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.,train,,
1709,ham,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?",train,,
1710,ham,U meet other fren dun wan meet me ah... Muz b a guy rite...,train,,
1711,ham,"(No promises on when though, haven't even gotten dinner yet)",train,,
1712,ham,I got your back! Do you have any dislikes in bed?,train,,
1713,ham,o turns out i had stereo love on mi phone under the unknown album.,train,,
1714,spam,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,train,,
1715,ham,Yeah I don't see why not,train,,
1716,ham,Asking do u knw them or nt? May be ur frnds or classmates?,train,,
1717,ham,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!",train,,
1718,spam,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,train,,
1719,ham,"As in missionary hook up, doggy hook up, standing...|",train,,
1720,ham,Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..,train,,
1721,ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",train,,
1722,ham,Am watching house ‰ÛÒ very entertaining ‰ÛÒ am getting the whole hugh laurie thing ‰ÛÒ even with the stick ‰ÛÒ indeed especially with the stick.,train,,
1723,ham,Thought praps you meant another one. Goodo! I'll look tomorrow ,train,,
1724,ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur Ôrents mayb interested in it, I hav 12,000pes, so around $48, tb, James.",train,,
1725,ham,There bold 2  &lt;#&gt; . Is that yours,train,,
1726,ham,You know there is. I shall speak to you in  &lt;#&gt;  minutes then,train,,
1727,ham,"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\""""",train,,
1728,ham,I went to project centre,train,,
1729,ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,train,,
1730,ham,Lol yeah at this point I guess not,train,,
1731,ham,Doing project w frens lor. ,train,,
1732,ham,Lol. Well quality aint bad at all so i aint complaining,train,,
1733,ham,"K, can that happen tonight?",train,,
1734,spam,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive $5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",train,,
1735,ham,"I think we're going to finn's now, come",train,,
1736,ham,Why tired what special there you had,train,,
1737,ham,I will come tomorrow di,train,,
1738,ham,I cant pick the phone right now. Pls send a message,train,,
1739,ham,K go and sleep well. Take rest:-).,train,,
1740,ham,U guys never invite me anywhere :(,train,,
1741,spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of$2000 CASH 18+only. To opt out txt X to 07786200117,train,,
1742,ham,I can do that! I want to please you both inside and outside the bedroom...,train,,
1743,ham,"\EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.\""""",train,,
1744,ham,I love to wine and dine my lady!,train,,
1745,spam,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,train,,
1746,ham,"IÕm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",train,,
1747,ham,I don know account details..i will ask my mom and send you.my mom is out of reach now.,train,,
1748,ham,I think u have the wrong number.,train,,
1749,ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),train,,
1750,ham,DO NOT B LATE LOVE MUM,train,,
1751,ham,Got it..mail panren paru..,train,,
1752,ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,train,,
1753,ham,Give one miss from that number please,train,,
1754,ham,Jus came back fr lunch wif my sis only. U leh?,train,,
1755,ham,How is your schedule next week? I am out of town this weekend.,train,,
1756,ham,Really good:)dhanush rocks once again:),train,,
1757,ham,Lmao ok I wont be needing u to do my hair anymore.,train,,
1758,ham,"Miss ya, need ya, want ya, love ya.",train,,
1759,ham,Sorry i'm not free...,train,,
1760,ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,train,,
1761,ham,Nt yet chikku..simple habba..hw abt u?,train,,
1762,ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",train,,
1763,ham,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL,train,,
1764,ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan,train,,
1765,spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY $10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,train,,
1766,ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...,train,,
1767,spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,train,,
1768,ham,"K, want us to come by now?",train,,
1769,ham,How. Its a little difficult but its a simple way to enter this place,train,,
1770,ham,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,train,,
1771,ham,Dont show yourself. How far. Put new pictures up on facebook.,train,,
1772,ham,Watching tv now. I got new job :),train,,
1773,ham,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!",train,,
1774,ham,"I'm not coming over, do whatever you want",train,,
1775,ham,"Its ok chikku, and its my 1 of favourite song..:-)",train,,
1776,ham,Did u see what I posted on your Facebook?,train,,
1777,spam,Call FREEPHONE 0800 542 0578 now!,train,,
1778,spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,train,,
1779,ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",train,,
1780,spam,"Loan for any purpose $500 - $75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",train,,
1781,spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,train,,
1782,ham,";-( oh well, c u later",train,,
1783,ham,My uncles in Atlanta. Wish you guys a great semester.,train,,
1784,ham,No dear i do have free messages without any recharge. Hi hi hi,train,,
1785,ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",train,,
1786,ham,I dun believe u. I thk u told him.,train,,
1787,ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",train,,
1788,ham,Yes:)sura in sun tv.:)lol.,train,,
1789,ham,Arun can u transfr me d amt,train,,
1790,ham,Takin a shower now but yeah I'll leave when I'm done,train,,
1791,ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...,train,,
1792,ham,U havenÕt lost me ill always b here 4u.i didnÕt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thatÕs what itried2tell urmom.i careabout u,train,,
1793,spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",train,,
1794,ham,You bad girl. I can still remember them,train,,
1795,ham,How much i gave to you. Morning.,train,,
1796,ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",train,,
1797,ham,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone",train,,
1798,ham,Can i get your opinion on something first?,train,,
1799,ham,That one week leave i put know that time. Why.,train,,
1800,ham,"If we hit it off, you can move in with me :)",train,,
1801,ham,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?,train,,
1802,ham,I wanna watch that movie,train,,
1803,ham,Ok lor thanx... ÌÏ in school?,train,,
1804,ham,I'm in class. Did you get my text.,train,,
1805,ham,The bus leaves at  &lt;#&gt; ,train,,
1806,ham,God bless.get good sleep my dear...i will pray!,train,,
1807,spam,Todays Voda numbers ending 1225 are selected to receive a $50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app ,train,,
1808,ham,Do have a nice day today. I love you so dearly.,train,,
1809,ham,Aiyo a bit pai seh Ì_ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,train,,
1810,ham,"Aight, I'll ask a few of my roommates",train,,
1811,ham,"Now, whats your house # again ? And do you have any beer there ?",train,,
1812,ham,Do Ì_ all wan 2 meet up n combine all the parts? How's da rest of da project going?,train,,
1813,ham,"\Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry\""""",train,,
1814,ham,Yes we are chatting too.,train,,
1815,ham,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX,train,,
1816,ham,Sian... Aft meeting supervisor got work 2 do liao... U working now?,train,,
1817,ham,Are you going to write ccna exam this week??,train,,
1818,ham,Well i will watch shrek in 3D!!B),train,,
1819,ham,Am i that much dirty fellow?,train,,
1820,ham,Dunno dat's wat he told me. Ok lor...,train,,
1821,ham,I'll probably be by tomorrow (or even later tonight if something's going on),train,,
1822,ham,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night,train,,
1823,ham,If you're thinking of lifting me one then no.,train,,
1824,ham,Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?,train,,
1825,ham,Sent me ur email id soon,train,,
1826,ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,train,,
